text,label
i must say that this makeover has been all consuming coupled with some major changes at work coworkers having babies and i feel like i have been a neglectful lady,sadness
i thought i exhausted all emotions i held all the frustration and confusion and still here i am having so much more to give so much more to feel i look at this blank white piece of paper and i want to fill it with colours with motion but it still seems so blank,sadness
i feel so remorseful for doing this to him,sadness
i was reading the melee dps rant below just now and it brought to my attention the reason ive been feeling fairly dissatisfied in raids recently,anger
i write what i feel if you get annoyed and sick of this simply close the tab,anger
i feel really lucky for everything i have this year a job a roof over my head heat and the ability to give my kids a fun christmas and if i have a little left over i want to pass if forward as the saying goes there but for the grace of god i go,joy
i feel too bitchy to do something like that to my family because theyre going through the same shit i am,anger
i feel privileged to be their mommy,joy
i feel tat all of us in this world are clever just depending on how u are born if u are born to be errrr not good but it will still would have some good things that u have it just that u dun realise it lol i noe its quite lame hope no one have read it img src http shared,joy
i guess were annoyed agiatated and my sis feels hated darn cos i told her shes a geek i love you amy,anger
i feel awful for so but he has to know im not lying about what the kid does sometimes if hell stoop to pending on himself,sadness
i waited in line longer than usual i didnt feel impatient that my business was delayed i listened to the master about why this was occurring and how i could be of service during that moment,anger
i am feeling manipulkated and wronged by my son and its as though he is lucy and i am charlie brown,anger
i am crushed and think of suicide but i will not ever ever give up on my kids i will fight and prove her psychotic behavior to everyone she has noconscience and feels joy to hurt me but i will prevail,sadness
i feel like this is like fake bogart said at one point in the show,sadness
i just remember being so fully stressed out and while i had fun i feel it could have been more lively,joy
i can whine and pour my heart out without feeling awkward,sadness
i want to say how i want to feel just come out so bitter and angry,anger
im feeling lethargic these days hence the long hiatus,sadness
i feel lonely so unbearably crushingly lonely you are not the only one a href http creativeliar,sadness
i feel the echoes of the divine so very close,joy
i feel like doing something productive on this,joy
i feel at ease in those moments but the last few nights have been troubled,sadness
i feel low not coz of the situations distance or the person but its that one thing that hurts you and makes you feel responsible for what i have done to myself,sadness
ive just spent the last half hour feeling ridiculously angry over insensitive comments from my partner but that all changed a few minutes ago to real pride over how much i have changed,anger
i have depression and things just started getting better but today i felt so bad you know they feeling in the pit of you heart that your a worthless failure,sadness
i am feeling thankful for warm sunshine crisp autumn air and bright fall colors,joy
i spent a few hours listening to the thundershowers and feeling that gorgeous cool summer storm air across my ginormous pregnant self,joy
i feel more clever,joy
i was still feelin kind of irritable and funky from the day before but so it goes,anger
i write when i am feeling happy and childish,joy
i know that i feel more successful now writing a blog in my sweatpants while my baby sleeps on me than i did when i commuted on trains and ferries with a business card in the pocket of my armani blazer,joy
i can get to the bottom of this feeling and not just berate myself for feeling dissatisfied,anger
i didnt feel any emotional pulls toward anyone except the lord,sadness
i think this will help somebody out there that feels hopeless and alone,sadness
i remember reading red seas under red skies and feeling a bit disappointed,sadness
i really can carry a grudge for a long time against those i feel have wronged or hurt me in someway whether they are aware of it or not,anger
i barely seem to remember where i live in the middle of coming to terms with the likelihood that i would just be single for the rest of my life and feeling pretty content about that,joy
i set off feeling fab and ran first section pretty well,joy
i feel weepy already,sadness
i feel that many people need to worry about their own families their own children and their own self because time is precious,joy
i had been feeling extremely homesick the first two days,sadness
im feeling generous i might let them bring the dog with em otherwise the animals are on their own,joy
i feel very happy each time i saw him,joy
im feeling stressed and tired and after that flight i really dont want to get on another one,sadness
im feeling a little stressed out with it all,sadness
i remember hating walking from the car to the my classroom feeling judged and ugly and jeered at with every step,sadness
i not seeing and feeling the divine,joy
im feeling quite adventurous and tried out those drinks that i just normally read through the pages of pocketbooks,joy
i feel so all alone no ones gonna fix me when im broke how do you cry with inanimate eyes,sadness
i have this nagging feeling that i fucked everything up on the first try,anger
i feel absolutely shitty,sadness
i am left feeling rejected judged and deemed inadequate,sadness
i feel like i am totally trusting someone my soul cannot submit to that and so walls go up and the restlessness never ends,joy
i feel content without knowing the rest of their story,joy
i feel i did some thing impolite katanya,anger
i would really recommend taking this approach because the last thing you want is to feel disappointed when your little nugget arrives,sadness
i can feel the cold wind,anger
i came back and for some reason my mind feels blank,sadness
i know takes a lot of present moment awareness and part will be the challenge of accepting things as they are so i don t set up a feeling of wanting or discontent,sadness
i can process everything properly but im feeling more positive and able to resume training,joy
i was half feeling very irritated and just wanted to get out of a amp f lol,anger
i wanted to avoid feeling rushed,anger
i don t feel so fearless,joy
when i was years old my father travelled very much for his work he passed three months away from home,sadness
i always feel that accessories are the most important part of an outfit as they really pull it together so ive tried to choose jewellery which adds a little bit of sparkle to the outfits without being too in your face,joy
i don t believe these feelings can be blamed solely on the lack of empathy towards family life by government policy makers and employers which the analysis on this survey would seem to suggest,sadness
i am feeling quite pleasant,joy
i was a bit more bouncier than usual i didnt feel as grouchy about everything as normal,anger
i do not know how to feel my hearts aching sadness over the loss of those good and kind people and all the other connected losses a href http,sadness
i feel that the classroom is extremely dangerous,anger
i found working out of detroit specialized in christian literature lol im feeling a little grouchy tonight,anger
i threw myself at him after all feeling genuinely pleased for him,joy
im feeling playful google doodle of pac man game,joy
i was feeling frustrated and tired today,anger
i arrived in anchorage it only took a few hours after spending time with my parents eating at a local favorite joint and then going on a stroll in my parent s my childhood neighborhood to be able to take a big sigh and feel relieved,joy
i feel like im the mad hatter rather than alice,anger
i feel like i missed that ship when it sailed,sadness
i know im not in the best place of my life still dealing with the infertility issue but i feel i have a lot to be thankful for,joy
i am feeling very satisfied with where i am heading with my training and cannot wait to see where this journey continues to ta,joy
i left the office feeling so relieved,joy
i questioned myself wondering why didnt i feel jubilant,joy
i must have been feeling a little cranky about the,anger
i say nothing then i my feelings are hurt i feel uncomfortable and direspected,sadness
i now feel more intelligent about my followers myself and how i use a href http twitter,joy
i loved how all his pack mates bonded with her the touchy feely way they were with each other was sweet,joy
i feel wronged but the judges people make at times however i also found out that actually in life we just need to be responsible to our own actions and and the people around us,anger
i also feel extremely blessed to be marrying into such a loving family,joy
i feel enormously honoured to be included in this list,joy
i glimpse at his clarity when he takes the reigns i can feel the calm,joy
im feeling festive,joy
i vividly remember feeling so offended that she would even dream such a thing could be a choice,anger
i acted like a little girl by acting cute towards you asking if you wanna share a diary with me amp you said youre still feeling pissed and you want me to stop adding the problems and make things hard for us,anger
i feel were most successful sodden shattered squeeze sardonic and squat,joy
i wasnt feeling too well,joy
i feel assured thankk god,joy
i feel humiliated to introduce you to my colleagues as my wife,sadness
i feel the shift towards casual gaming as a whole is hurting rpgs and jrpgs especially because rpgs aren t games that non gamers think of playing,joy
i feel so invigorated so focused about what im being led to pursue right now and in the future,joy
i guess im feeling pretty mellow these days,joy
i feel like i m not really sure where everything is leading and i d look like a boob if i misrepresent things,joy
i have to admit that i feel a little irate as well but its under control,anger
i have really come up against some intense struggles since moving in here and i have to say i am very proud at the way we are giving each other the respect to feel however we need to feel mad stressed whatever and yet we still pull together to fix the issue,anger
i want to understand how i can count all things joy when life feels anything but joyful,joy
i was not aware of his point of view as a white european who had undertaken this trip as a fulfillment of a childhood dream but maybe because of this awareness i was able to feel the tragic dawning marlowe experiences of humanitys ruthless rapacity and greed,sadness
i dun feel blamed,sadness
i am moving on and i feel sorry for you because i thought you were the most amazing boy ever,sadness
i feel mad sad and discouraged there is something so marvelous about the lord jesus something about the holy word of god that ignites my soul with hope to once again keep moving forward,anger
i feel peaceful and not particularly stressed about anything,joy
i still feel stressed,anger
i feel divine whenever i captured a moment smiled silently saving all the details to my treasure chest that i fill only with memories that i knew will only happened once in my lifespan,joy
im not sure how i feel about him yet he seemed kind of distracted and out of it but we decided wed give him until the end of the week to prove himself to us,anger
i feel like she was bitter towards people who were in upper class just because they were in upper class,anger
i feel that this was their mistake and they are just being rude,anger
i feel lonely i remember my moms saying,sadness
i dunno how else to describe how great i feel i swear ive been giggly all day,joy
im feeling really lonely and feeling like im missing a part of myself,sadness
i just couldnt help feeling a little bit bitter towards his great big happy grin,anger
i finally realized that all i needed was to be and feel useful and blogging allowed me to do that,joy
i break down a few times feeling like a lousy mom,sadness
i feel a little sentimental about because i distinctly remember as a child celebrating my parents th birthdays and they seemed so,sadness
i really enjoyed feeling that i was not alone,sadness
i love the passion and the feeling of wonderful uncertainty of those teenage years,joy
i feel very angry but once a simple msg made me blur really blur,anger
im feeling particularly dangerous a chocolate cookie,anger
im excited to get home and spend time with everyone please feel free to email call or text and let me know if youre available for dinner or coffee or anything,joy
ive been feeling weepy and sensitive today as time rolls towards the anniversary of my fathers death,sadness
i wonder if am i alone in the fact that i am able to identify my destructive behaviors yet feel doomed to repeat them,sadness
i got the feeling she hated that that i would not admit it let it in i know ive hated every single obstacle that kept it from her every single leaden block that kept being placed in our once clear path to one anothers arms,anger
i feel like i shouldnt bother people with these petty stupid little pathetic thoughts i feel like no one really would care to know what really goes on inside my head,anger
i feel like people have shamed me for being so,sadness
i feel like the saddest most pathetic piece of shit on this planet,sadness
i feel like this vile thing brooding gnawing deeper in spirit,anger
i wanna talk tell you about sycf it stands for singapore youth chinese forum btw and although theres a singapore word inside i feel like the minority there p ok but thats beside the point,joy
i a href http feeling groggy,sadness
i started to feel dissatisfied by the ease and convenience of it all,anger
i feel accepted well we all know there are a few exceptions to the rule and like i belong,joy
i ve been feeling a bit cranky with the kids this week cranky baby whiny year old demanding preschooler so i wanted to stop and remember how blessed i really am,anger
im feeling so lousy they tried to cheer me up during school time and during choir practice,sadness
i can see the shallow of many lives and if i try to give love or atention to that person then i can see the distance and the confusion looks to me that people stop trusting others and feel insulted or misstreated by affeccion,anger
i feel disgusted that any criminal justice system in the st century could know the full details of it all and deny it to be named as abusive,anger
i feel im rather innocent in that respect,joy
there was a cat on the street it had been run over and its head was open we passed beside it,anger
im supposed to be excited about my tattoo today but instead all im feeling is pissed off,anger
im feeling quite positive at the moment,joy
i feel weepy and that makes me want to avoid people so i dont freak them out,sadness
i have gained lbs back and i feel terrible about it,sadness
i love you to me actually made me feel dismayed and disappointed,sadness
i feel like thats a cop out having safe people,joy
i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,anger
i feeling stressed,anger
im feeling slightly irritable but generally level headed and actually not in a bad mood,anger
i feel disturbed because of the world i saw through the camera s eyes,sadness
i will usually tell him that i was feeling frustrated for whatever reason and ask him to help me fix it,anger
i don t know if i should be feeling this way because it would seem greedy and not nice to expect someone to splurge on the spur of the moment just because i asked,anger
i do not feel miserable at all because my family is not the type that celebrates eid,sadness
i feel like a cranky old man saying this but so it goes,anger
i still miss him and feel rather weepy today,sadness
i won t do any weights till i feel more lively,joy
i hope the two of you don t feel it was all in vain,sadness
i feel more irritable and i feel more sensible now than ever,anger
i want them to feel eager to attend a amp m i want them to feel like they belong,joy
i took a minute to appreciate the trees around me and the calming energy that they gave me at a time when i was feeling a little bit irritable,anger
i like to buck the system and climb on my soapbox when i feel wronged or see others wronged but for the most part i am more comfortable with a society that accepts certain behaviors as moral truths,anger
im not feeling outgoing and am in no mood to put the game face on and smooch,joy
i feel terrible and sexist whenever im in a group of women and they start talking about dieting and my brain automatically drops the t,sadness
i apply it i walk very fast around the room because the rush of air against the essence on my lips feels very cool,joy
i want you to feel my awe and astonishment at this amazing thing that is happening,joy
i mention that im feeling cranky,anger
i feel the depths of sorrow and suffering in love because i have felt its heights of joy and goodness,sadness
i finally feel like im getting treatment for my injury and that im not being punished for having been injured during an assault,sadness
i feel heartless now feeling bored and not believe in love anymore,anger
i feel is a dull worry,sadness
i open my eyes in the morning my heart feels empty,sadness
i feel like i had this bitchy undertone the whole convo like kinda sarcastic,anger
im looking forward to feeling hopeful instead of hopeless,joy
i woke up feeling pretty rotten from the weekend this morning even though yesterday i felt fine,sadness
i am in a place where i feel hopeful of finally getting a job at another warehouse distributors like where i did work but the products are floral instead of stationary accessories art bags and such,joy
when people harrass me i feel oppressed by their behavior,anger
im feeling distracted i tend to practice with my eyes shut as much as possible,anger
im feeling brave today so here goes,joy
i am feeling a little groggy this morning not to mention a headache,sadness
this happened when i could not get into the school i had initially wanted,anger
i hear that bird i know that all is well and i feel safe,joy
i feel like my house is constantly messy and i feel like i am always cleaning up after them,sadness
i just cant help but feel extremely jealous of them because theyve been together for a year and half and luke and i have been together for and a half and i have nothing,anger
i really am feeling horribly irritable and a little bit depressed,anger
i were feeling pretty isolated and marginalised and my greatest enemy was the united states which is the only country to have ever deployed a nuclear weapon or two against civilians then i might just want to get one myself,sadness
i actually feel inside which is so dangerous because apart from my shoulder i feel really amazing,anger
i was about to feel insulted and show opportunity the finger then the door when it presented the prize two weeks in italy,anger
im starting to not buy the whole everything happens for a reason bit or god has a plan b c i feel that god is love and theres no way that he would torture me and other women like weve been tortured dealing w fertility issues,anger
i feel more graceful already,joy
i presented old work which made me feel guilty,sadness
i am in an internet cafe with both kids because i feel neglectful of my blog but this is chaotic,sadness
i was running hard i was running fast and i feel like the last minutes i was probably hitting low s,sadness
i feel that the students in this classroom are very hostile towards any display of intellect just like the rest of society,anger
i feel that rushed prize giving really dilute the event and in future prize givings will be not rushed and will be on timetable,anger
i cant shake off my feelings of being offended and hurt no matter how hard i try and the conversation keeps consuming my every thought,anger
i feel frustrated sometimes with my mac lipsticks when i have to read names or open each of them to select shade,anger
i do not know what to do in my current space to make myself feel more comfortable,joy
i always feel a little sad when he goes as we sorta have a ren and stimpy theme about us oil and water gemini and scorpio soulmate friends,sadness
i wanted to root for someone to feel wronged and condemned on their behalf,anger
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,joy
i feel as a child innocent feelings illustrating a,joy
i feel like im presenting myself in a less hostile manner now when i am dragged to an event or gathering full of stupid fake people,anger
i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive,anger
i feel so worthless during those times i was struggling finding work,sadness
im starting to feel wryly amused at the banal comedy of errors my life is turning into,joy
i feel like an idiot around my friends target blank rel nofollow title friendfeed img src http dearwendy,sadness
i know this is supposed to be a cheerfull season the christmas season but this is what i am feeling after loosing our beloved cat tigger earlier this year,joy
i feel highly disadvantaged,sadness
i had seen but theres just something about their set that makes you feel so glad to be there,joy
i feel like i spend most of my time over thinking and over analyzing pretty much everything,joy
i feel this way is probably because i am dumb and i try my hardest to cover it up by reading lots and lots of books or you know becoming a doctor,sadness
i feel even if he killed himself it was because he was agonized to that extent,sadness
i feel like a tortured artist when i talk to her,anger
im quite sore today and physically just feeling exhausted and burnt out,sadness
im feeling gloomy today,sadness
i feel more jaded,sadness
i feel stressed frequently,anger
i know ken has this down but im feeling really inadequate what am i doing wrong,sadness
when india lost the benson and hedges cricket trophy,sadness
i cant shake the im hiding how i feel about myself beneath a fab jacket vibe and this style doesnt mesh well with most of the clothes i wear,joy
i cant help but feel someones going to end up pissed at me,anger
i just want to share and i feel like its not socially acceptable to do so right now,joy
i feel very angry and upset with my customer,anger
i perform a submarine cartwheel before i feel a violent tug on my ankle as my board gets hauled towards the beach,anger
im feeling quite lonely here now and its only monday of half term,sadness
i think about it how harmless that insect is i feel pathetic to be so overpowered by fear,sadness
im feeling inspired by all the summery elements of my favorite past time beach bummin,joy
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,joy
i was feeling irritable and grumpy today so i came home for lunch took a nap,anger
i feel as though my sub arguments are stronger and i support my claims better than i did in the beginning,joy
im not emo ing no no no haha i am feeling happy instead for being able to meet up with them,joy
i begin to feel burdened by things amp long to be empty again,sadness
i feel like robin is very troubled right now maeve feel free to comment,sadness
i have essentially at least in my mind solved these design problems i just don t fucking feel like working them out in all their iterations i just feel like i can t be bothered leave that shit to the junior designers,anger
i feel like if people see the chinks in my armor they re going to decide that i m this fucked up person dismiss me as a hot mess and not want to be around me anymore,anger
i feel troubled and also terrified your minute my partner and i view hundreds of white jackets and obtain caught from the surgeons evaluating area sterile and clean smelling and brimming with numerous devices,sadness
i must not lie radio actually makes you feel wonderful,joy
i feel like a stubborn year old,anger
i am a very generous person in that i give quality time and make people feel special,joy
i came home one day and discovered that my sister had borrowed my car and had gotten into an accident with it my entire front bumper was destroyed,anger
i think i like how it feels more lively in the dorama,joy
i m filled with astonishment and feel amused about what this city has witnesed today,joy
ive been feeling all festive at the torch this week,joy
im feeling lousy right now,sadness
i feel terrible about that,sadness
i don t know what to do about it or how to do it almost feeling angry within myself that i can t do something tangible and pragmatic to help my sisters,anger
i feel that this a very clever and humorous idea that is memorable,joy
when i saw a man hitting a child of years without any consideration,anger
i am still feeling some low energy and effects of stress,sadness
i also feel like why is what i m going to say going to be important in any way shape or form,joy
id just had a terrible nightmare and was feeling a little disturbed,sadness
ive never behaved like that in front of my husband and i feel a mixture of shame and relief that only the shedding of many tears and saying truthful but hurtful things can bring on,joy
i feel so resentful about having to take care of us and not getting to do what i want to do,anger
im feeling much more positive about the impending move,joy
